Freq.	V(input)/I(V1)
1.00000000000000e+02	(5.99999621262882e+01dB,1.79830800491850e+02°)
1.02329299228075e+02	(5.99999603413633e+01dB,1.79826859352732e+02°)
1.04712854805090e+02	(5.99999584723183e+01dB,1.79822826414388e+02°)
1.07151930523761e+02	(5.99999565151887e+01dB,1.79818699538660e+02°)
1.09647819614318e+02	(5.99999544658234e+01dB,1.79814476537596e+02°)
1.12201845430196e+02	(5.99999523198756e+01dB,1.79810155172287e+02°)
1.14815362149688e+02	(5.99999500727935e+01dB,1.79805733151686e+02°)
1.17489755493953e+02	(5.99999477198109e+01dB,1.79801208131389e+02°)
1.20226443461741e+02	(5.99999452559370e+01dB,1.79796577712397e+02°)
1.23026877081238e+02	(5.99999426759458e+01dB,1.79791839439843e+02°)
1.25892541179417e+02	(5.99999399743651e+01dB,1.79786990801690e+02°)
1.28824955169313e+02	(5.99999371454645e+01dB,1.79782029227406e+02°)
1.31825673855641e+02	(5.99999341832440e+01dB,1.79776952086594e+02°)
1.34896288259165e+02	(5.99999310814204e+01dB,1.79771756687608e+02°)
1.38038426460288e+02	(5.99999278334148e+01dB,1.79766440276119e+02°)
1.41253754462275e+02	(5.99999244323380e+01dB,1.79761000033663e+02°)
1.44543977074593e+02	(5.99999208709763e+01dB,1.79755433076143e+02°)
1.47910838816821e+02	(5.99999171417759e+01dB,1.79749736452306e+02°)
1.51356124843621e+02	(5.99999132368271e+01dB,1.79743907142177e+02°)
1.54881661891248e+02	(5.99999091478475e+01dB,1.79737942055461e+02°)
1.58489319246111e+02	(5.99999048661643e+01dB,1.79731838029908e+02°)
1.62181009735893e+02	(5.99999003826962e+01dB,1.79725591829638e+02°)
1.65958690743756e+02	(5.99998956879337e+01dB,1.79719200143427e+02°)
1.69824365246174e+02	(5.99998907719193e+01dB,1.79712659582955e+02°)
1.73780082874937e+02	(5.99998856242262e+01dB,1.79705966681012e+02°)
1.77827941003892e+02	(5.99998802339364e+01dB,1.79699117889663e+02°)
1.81970085860998e+02	(5.99998745896172e+01dB,1.79692109578374e+02°)
1.86208713666287e+02	(5.99998686792973e+01dB,1.79684938032083e+02°)
1.90546071796324e+02	(5.99998624904413e+01dB,1.79677599449241e+02°)
1.94984459975804e+02	(5.99998560099229e+01dB,1.79670089939799e+02°)
1.99526231496888e+02	(5.99998492239974e+01dB,1.79662405523146e+02°)
2.04173794466953e+02	(5.99998421182725e+01dB,1.79654542126011e+02°)
2.08929613085404e+02	(5.99998346776775e+01dB,1.79646495580302e+02°)
2.13796208950223e+02	(5.99998268864318e+01dB,1.79638261620903e+02°)
2.18776162394955e+02	(5.99998187280109e+01dB,1.79629835883423e+02°)
2.23872113856834e+02	(5.99998101851120e+01dB,1.79621213901881e+02°)
2.29086765276777e+02	(5.99998012396166e+01dB,1.79612391106353e+02°)
2.34422881531992e+02	(5.99997918725528e+01dB,1.79603362820549e+02°)
2.39883291901949e+02	(5.99997820640545e+01dB,1.79594124259347e+02°)
2.45470891568503e+02	(5.99997717933196e+01dB,1.79584670526263e+02°)
2.51188643150958e+02	(5.99997610385660e+01dB,1.79574996610862e+02°)
2.57039578276886e+02	(5.99997497769850e+01dB,1.79565097386114e+02°)
2.63026799189538e+02	(5.99997379846934e+01dB,1.79554967605685e+02°)
2.69153480392691e+02	(5.99997256366824e+01dB,1.79544601901164e+02°)
2.75422870333816e+02	(5.99997127067653e+01dB,1.79533994779235e+02°)
2.81838293126445e+02	(5.99996991675212e+01dB,1.79523140618770e+02°)
2.88403150312660e+02	(5.99996849902375e+01dB,1.79512033667868e+02°)
