Freq.	V(input)/I(V1)
4.46683592150961e+03	(6.86612585015167e+01dB,1.23768270513743e+02°)
4.57088189614873e+03	(6.85076751911819e+01dB,1.23413937386540e+02°)
4.67735141287196e+03	(6.83530329934003e+01dB,1.23070269658008e+02°)
4.78630092322636e+03	(6.81973868557333e+01dB,1.22737360697212e+02°)
4.89778819368444e+03	(6.80407919330933e+01dB,1.22415292097918e+02°)
5.01187233627270e+03	(6.78833035330806e+01dB,1.22104133853728e+02°)
5.12861383991362e+03	(6.77249770656068e+01dB,1.21803944536864e+02°)
5.24807460249770e+03	(6.75658679966566e+01dB,1.21514771477640e+02°)
5.37031796370250e+03	(6.74060318060009e+01dB,1.21236650941817e+02°)
5.49540873857622e+03	(6.72455239486400e+01dB,1.20969608303217e+02°)
5.62341325190346e+03	(6.70843998197237e+01dB,1.20713658209189e+02°)
5.75439937337154e+03	(6.69227147226665e+01dB,1.20468804736701e+02°)
5.88843655355586e+03	(6.67605238401507e+01dB,1.20235041537071e+02°)
6.02559586074354e+03	(6.65978822076879e+01dB,1.20012351967571e+02°)
6.16595001861479e+03	(6.64348446893903e+01dB,1.19800709208358e+02°)
6.30957344480190e+03	(6.62714659555860e+01dB,1.19600076363441e+02°)
6.45654229034652e+03	(6.61078004619003e+01dB,1.19410406544620e+02°)
6.60693448007592e+03	(6.59439024294123e+01dB,1.19231642937565e+02°)
6.76082975391978e+03	(6.57798258254900e+01dB,1.19063718849484e+02°)
6.91830970918932e+03	(6.56156243448990e+01dB,1.18906557738033e+02°)
7.07945784384134e+03	(6.54513513907793e+01dB,1.18760073221390e+02°)
7.24435960074986e+03	(6.52870600550816e+01dB,1.18624169069675e+02°)
7.41310241300913e+03	(6.51228030980600e+01dB,1.18498739178106e+02°)
7.58577575029179e+03	(6.49586329264171e+01dB,1.18383667522577e+02°)
7.76247116628687e+03	(6.47946015697104e+01dB,1.18278828098563e+02°)
7.94328234724277e+03	(6.46307606546351e+01dB,1.18184084844506e+02°)
8.12830516164094e+03	(6.44671613768110e+01dB,1.18099291551087e+02°)
8.31763771102666e+03	(6.43038544697177e+01dB,1.18024291758041e+02°)
8.51138038202371e+03	(6.41408901704402e+01dB,1.17958918640393e+02°)
8.70963589956075e+03	(6.39783181819066e+01dB,1.17902994886240e+02°)
8.91250938133740e+03	(6.38161876313267e+01dB,1.17856332568436e+02°)
9.12010839355904e+03	(6.36545470245643e+01dB,1.17818733012764e+02°)
9.33254300796985e+03	(6.34934441962114e+01dB,1.17789986665369e+02°)
9.54992586021430e+03	(6.33329262551609e+01dB,1.17769872962477e+02°)
9.77237220955804e+03	(6.31730395255188e+01dB,1.17758160205559e+02°)
9.99999999999993e+03	(6.30138294827324e+01dB,1.17754605445324e+02°)
1.02329299228075e+04	(6.28553406848590e+01dB,1.17758954378055e+02°)
1.04712854805089e+04	(6.26976166989473e+01dB,1.17770941257940e+02°)
1.07151930523760e+04	(6.25407000225532e+01dB,1.17790288829177e+02°)
1.09647819614318e+04	(6.23846320004679e+01dB,1.17816708281697e+02°)
1.12201845430196e+04	(6.22294527367941e+01dB,1.17849899234410e+02°)
1.14815362149688e+04	(6.20752010025616e+01dB,1.17889549749914e+02°)
1.17489755493952e+04	(6.19219141391416e+01dB,1.17935336384564e+02°)
1.20226443461740e+04	(6.17696279577757e+01dB,1.17986924277757e+02°)
1.23026877081237e+04	(6.16183766356045e+01dB,1.18043967284192e+02°)
1.25892541179416e+04	(6.14681926086432e+01dB,1.18106108152712e+02°)
1.28824955169313e+04	(6.13191064622150e+01dB,1.18172978755154e+02°)
1.31825673855640e+04	(6.11711468194183e+01dB,1.18244200368379e+02°)
1.34896288259164e+04	(6.10243402282609e+01dB,1.18319384012391e+02°)
1.38038426460288e+04	(6.08787110481564e+01dB,1.18398130847106e+02°)
1.41253754462274e+04	(6.07342813365271e+01dB,1.18480032629942e+02°)
1.44543977074592e+04	(6.05910707363114e+01dB,1.18564672235993e+02°)
1.47910838816820e+04	(6.04490963652131e+01dB,1.18651624242070e+02°)
1.51356124843620e+04	(6.03083727075689e+01dB,1.18740455575373e+02°)
1.54881661891247e+04	(6.01689115097384e+01dB,1.18830726227028e+02°)
1.58489319246110e+04	(6.00307216799416e+01dB,1.18921990030137e+02°)
1.62181009735892e+04	(5.98938091934818e+01dB,1.19013795501400e+02°)
1.65958690743755e+04	(5.97581770042913e+01dB,1.19105686744727e+02°)
1.69824365246173e+04	(5.96238249637328e+01dB,1.19197204414673e+02°)
1.73780082874936e+04	(5.94907497475686e+01dB,1.19287886736853e+02°)
1.77827941003891e+04	(5.93589447919822e+01dB,1.19377270581915e+02°)
1.81970085860997e+04	(5.92284002394979e+01dB,1.19464892589000e+02°)
1.86208713666285e+04	(5.90991028955943e+01dB,1.19550290334081e+02°)
1.90546071796323e+04	(5.89710361967497e+01dB,1.19633003537971e+02°)
1.94984459975803e+04	(5.88441801905874e+01dB,1.19712575308307e+02°)
1.99526231496887e+04	(5.87185115287145e+01dB,1.19788553409342e+02°)
2.04173794466951e+04	(5.85940034727620e+01dB,1.19860491552952e+02°)
2.08929613085402e+04	(5.84706259140432e+01dB,1.19927950703919e+02°)
2.13796208950222e+04	(5.83483454071514e+01dB,1.19990500392250e+02°)
2.18776162394954e+04	(5.82271252177167e+01dB,1.20047720025059e+02°)
2.23872113856832e+04	(5.81069253844386e+01dB,1.20099200190404e+02°)
2.29086765276776e+04	(5.79877027954033e+01dB,1.20144543945337e+02°)
2.34422881531990e+04	(5.78694112785899e+01dB,1.20183368080464e+02°)
2.39883291901947e+04	(5.77520017063635e+01dB,1.20215304353316e+02°)
2.45470891568501e+04	(5.76354221136474e+01dB,1.20240000682981e+02°)
2.51188643150956e+04	(5.75196178293665e+01dB,1.20257122298611e+02°)
2.57039578276884e+04	(5.74045316206563e+01dB,1.20266352834698e+02°)
2.63026799189536e+04	(5.72901038492370e+01dB,1.20267395366275e+02°)
2.69153480392689e+04	(5.71762726392659e+01dB,1.20259973377587e+02°)
2.75422870333814e+04	(5.70629740558989e+01dB,1.20243831658179e+02°)
2.81838293126443e+04	(5.69501422937161e+01dB,1.20218737120783e+02°)
2.88403150312658e+04	(5.68377098740978e+01dB,1.20184479535891e+02°)
2.95120922666636e+04	(5.67256078505758e+01dB,1.20140872178401e+02°)
3.01995172040199e+04	(5.66137660211320e+01dB,1.20087752382305e+02°)
3.09029543251357e+04	(5.65021131463669e+01dB,1.20024981999908e+02°)
3.16227766016835e+04	(5.63905771724233e+01dB,1.19952447762721e+02°)
3.23593656929626e+04	(5.62790854575203e+01dB,1.19870061541721e+02°)
3.31131121482588e+04	(5.61675650009234e+01dB,1.19777760505328e+02°)
3.38844156139200e+04	(5.60559426731673e+01dB,1.19675507174050e+02°)
3.46736850452529e+04	(5.59441454463321e+01dB,1.19563289371412e+02°)
3.54813389233573e+04	(5.58321006231767e+01dB,1.19441120071366e+02°)
3.63078054770098e+04	(5.57197360639365e+01dB,1.19309037143075e+02°)
3.71535229097169e+04	(5.56069804096076e+01dB,1.19167102994548e+02°)
3.80189396320558e+04	(5.54937633005597e+01dB,1.19015404117235e+02°)
3.89045144994277e+04	(5.53800155893488e+01dB,1.18854050534324e+02°)
3.98107170553494e+04	(5.52656695466361e+01dB,1.18683175156056e+02°)
4.07380277804109e+04	(5.51506590591655e+01dB,1.18502933045966e+02°)
4.16869383470332e+04	(5.50349198187993e+01dB,1.18313500602523e+02°)
4.26579518801589e+04	(5.49183895016745e+01dB,1.18115074661158e+02°)
4.36515832240162e+04	(5.48010079366045e+01dB,1.17907871522198e+02°)
4.46683592150959e+04	(5.46827172619256e+01dB,1.17692125910663e+02°)
4.57088189614871e+04	(5.45634620700671e+01dB,1.17468089874333e+02°)
4.67735141287194e+04	(5.44431895392076e+01dB,1.17236031626849e+02°)
4.78630092322634e+04	(5.43218495514744e+01dB,1.16996234342960e+02°)
4.89778819368442e+04	(5.41993947972351e+01dB,1.16748994913301e+02°)
5.01187233627268e+04	(5.40757808651351e+01dB,1.16494622666271e+02°)
5.12861383991360e+04	(5.39509663176331e+01dB,1.16233438064781e+02°)
5.24807460249768e+04	(5.38249127518971e+01dB,1.15965771385668e+02°)
5.37031796370248e+04	(5.36975848460255e+01dB,1.15691961389627e+02°)
5.49540873857620e+04	(5.35689503906677e+01dB,1.15412353989446e+02°)
5.62341325190344e+04	(5.34389803062213e+01dB,1.15127300924181e+02°)
5.75439937337152e+04	(5.33076486458857e+01dB,1.14837158446747e+02°)
5.88843655355584e+04	(5.31749325849508e+01dB,1.14542286032103e+02°)
6.02559586074352e+04	(5.30408123967936e+01dB,1.14243045112922e+02°)
6.16595001861477e+04	(5.29052714161394e+01dB,1.13939797849196e+02°)
6.30957344480187e+04	(5.27682959902292e+01dB,1.13632905937846e+02°)
6.45654229034650e+04	(5.26298754186025e+01dB,1.13322729467862e+02°)
6.60693448007590e+04	(5.24900018822701e+01dB,1.13009625826013e+02°)
6.76082975391975e+04	(5.23486703631044e+01dB,1.12693948657561e+02°)
6.91830970918930e+04	(5.22058785543183e+01dB,1.12376046885862e+02°)
7.07945784384131e+04	(5.20616267629371e+01dB,1.12056263794098e+02°)
7.24435960074983e+04	(5.19159178051912e+01dB,1.11734936171787e+02°)
7.41310241300911e+04	(5.17687568957708e+01dB,1.11412393528093e+02°)
7.58577575029177e+04	(5.16201515318856e+01dB,1.11088957373345e+02°)
7.76247116628685e+04	(5.14701113730658e+01dB,1.10764940569594e+02°)
7.94328234724274e+04	(5.13186481176282e+01dB,1.10440646750441e+02°)
8.12830516164092e+04	(5.11657753767015e+01dB,1.10116369809836e+02°)
8.31763771102663e+04	(5.10115085466795e+01dB,1.09792393459047e+02°)
8.51138038202369e+04	(5.08558646809278e+01dB,1.09468990850489e+02°)
8.70963589956073e+04	(5.06988623615277e+01dB,1.09146424266718e+02°)
8.91250938133737e+04	(5.05405215717910e+01dB,1.08824944872458e+02°)
9.12010839355901e+04	(5.03808635702277e+01dB,1.08504792527227e+02°)
9.33254300796982e+04	(5.02199107665894e+01dB,1.08186195655810e+02°)
9.54992586021427e+04	(5.00576866005566e+01dB,1.07869371173586e+02°)
9.77237220955802e+04	(4.98942154235762e+01dB,1.07554524463521e+02°)
9.99999999999991e+04	(4.97295223842956e+01dB,1.07241849401486e+02°)
1.02329299228074e+05	(4.95636333179827e+01dB,1.06931528426437e+02°)
1.04712854805089e+05	(4.93965746402588e+01dB,1.06623732651936e+02°)
1.07151930523760e+05	(4.92283732454185e+01dB,1.06318622015466e+02°)
1.09647819614317e+05	(4.90590564095542e+01dB,1.06016345461991e+02°)
1.12201845430195e+05	(4.88886516986492e+01dB,1.05717041158246e+02°)
1.14815362149687e+05	(4.87171868817597e+01dB,1.05420836734333e+02°)
1.17489755493952e+05	(4.85446898493537e+01dB,1.05127849549262e+02°)
1.20226443461740e+05	(4.83711885368385e+01dB,1.04838186977214e+02°)
1.23026877081237e+05	(4.81967108532670e+01dB,1.04551946711428e+02°)
1.25892541179416e+05	(4.80212846151774e+01dB,1.04269217082751e+02°)
1.28824955169312e+05	(4.78449374854943e+01dB,1.03990077390082e+02°)
1.31825673855639e+05	(4.76676969173858e+01dB,1.03714598240070e+02°)
1.34896288259164e+05	(4.74895901029527e+01dB,1.03442841893629e+02°)
1.38038426460287e+05	(4.73106439266016e+01dB,1.03174862617004e+02°)
1.41253754462274e+05	(4.71308849229401e+01dB,1.02910707035301e+02°)
1.44543977074591e+05	(4.69503392390149e+01dB,1.02650414486560e+02°)
1.47910838816819e+05	(4.67690326007058e+01dB,1.02394017374661e+02°)
1.51356124843619e+05	(4.65869902830774e+01dB,1.02141541519480e+02°)
1.54881661891247e+05	(4.64042370844871e+01dB,1.01893006502912e+02°)
1.58489319246110e+05	(4.62207973042420e+01dB,1.01648426009526e+02°)
1.62181009735891e+05	(4.60366947235973e+01dB,1.01407808160767e+02°)
1.65958690743754e+05	(4.58519525898884e+01dB,1.01171155841774e+02°)
1.69824365246173e+05	(4.56665936035909e+01dB,1.00938467019996e+02°)
1.73780082874936e+05	(4.54806399081053e+01dB,1.00709735054963e+02°)
1.77827941003890e+05	(4.52941130820686e+01dB,1.00484948998619e+02°)
1.81970085860996e+05	(4.51070341339990e+01dB,1.00264093885805e+02°)
1.86208713666285e+05	(4.49194234990869e+01dB,1.00047151014523e+02°)
1.90546071796323e+05	(4.47313010379537e+01dB,9.98340982157404e+01°)
1.94984459975802e+05	(4.45426860372024e+01dB,9.96249101125586e+01°)
1.99526231496886e+05	(4.43535972115984e+01dB,9.94195583686533e+01°)
2.04173794466951e+05	(4.41640527077220e+01dB,9.92180119259581e+01°)
2.08929613085402e+05	(4.39740701089433e+01dB,9.90202372316233e+01°)
2.13796208950221e+05	(4.37836664415805e+01dB,9.88261984543352e+01°)
2.18776162394953e+05	(4.35928581821090e+01dB,9.86358576901273e+01°)
2.23872113856832e+05	(4.34016612652961e+01dB,9.84491751578542e+01°)
2.29086765276775e+05	(4.32100910931481e+01dB,9.82661093845347e+01°)
2.34422881531990e+05	(4.30181625445590e+01dB,9.80866173807981e+01°)
2.39883291901946e+05	(4.28258899855624e+01dB,9.79106548066933e+01°)
2.45470891568500e+05	(4.26332872800936e+01dB,9.77381761281398e+01°)
2.51188643150955e+05	(4.24403678011756e+01dB,9.75691347643151e+01°)
2.57039578276884e+05	(4.22471444424508e+01dB,9.74034832262848e+01°)
2.63026799189535e+05	(4.20536296299858e+01dB,9.72411732471934e+01°)
2.69153480392689e+05	(4.18598353342840e+01dB,9.70821559043352e+01°)
2.75422870333814e+05	(4.16657730824443e+01dB,9.69263817334326e+01°)
2.81838293126442e+05	(4.14714539704140e+01dB,9.67738008354473e+01°)
2.88403150312657e+05	(4.12768886752835e+01dB,9.66243629762509e+01°)
2.95120922666635e+05	(4.10820874675806e+01dB,9.64780176794775e+01°)
3.01995172040198e+05	(4.08870602235242e+01dB,9.63347143128775e+01°)
3.09029543251356e+05	(4.06918164372007e+01dB,9.61944021684863e+01°)
3.16227766016834e+05	(4.04963652326335e+01dB,9.60570305369153e+01°)
3.23593656929625e+05	(4.03007153757156e+01dB,9.59225487760650e+01°)
3.31131121482587e+05	(4.01048752859830e+01dB,9.57909063745522e+01°)
3.38844156139199e+05	(3.99088530482057e+01dB,9.56620530101334e+01°)
3.46736850452528e+05	(3.97126564237797e+01dB,9.55359386034006e+01°)
3.54813389233571e+05	(3.95162928619028e+01dB,9.54125133670114e+01°)
3.63078054770097e+05	(3.93197695105221e+01dB,9.52917278507103e+01°)
3.71535229097168e+05	(3.91230932270413e+01dB,9.51735329823847e+01°)
3.80189396320557e+05	(3.89262705887797e+01dB,9.50578801053916e+01°)
3.89045144994276e+05	(3.87293079031747e+01dB,9.49447210123790e+01°)
3.98107170553493e+05	(3.85322112177238e+01dB,9.48340079758181e+01°)
4.07380277804108e+05	(3.83349863296601e+01dB,9.47256937754513e+01°)
4.16869383470331e+05	(3.81376387953609e+01dB,9.46197317228509e+01°)
4.26579518801588e+05	(3.79401739394866e+01dB,9.45160756832767e+01°)
4.36515832240161e+05	(3.77425968638496e+01dB,9.44146800950074e+01°)
4.46683592150958e+05	(3.75449124560148e+01dB,9.43154999863153e+01°)
4.57088189614870e+05	(3.73471253976325e+01dB,9.42184909902436e+01°)
