Frequency,Magnitude (dB),Phase (deg),Magnitude (linear)
100.0,59.9999621262882,0.0,999.9956396372969
102.329299228075,59.9999603413633,0.0,999.9954341411395
104.71285480509,59.9999584723183,0.0,999.9952189603875
107.151930523761,59.9999565151887,0.0,999.9949936386186
109.647819614318,59.9999544658234,0.0,999.9947576979281
112.201845430196,59.9999523198756,0.0,999.9945106378829
114.815362149688,59.9999500727935,0.0,999.9942519344498
117.489755493953,59.9999477198109,0.0,999.9939810389097
120.226443461741,59.999945255937,0.0,999.9936973766921
123.026877081238,59.9999426759458,0.0,999.9934003461447
125.892541179417,59.9999399743651,0.0,999.9930893172732
128.824955169313,59.9999371454645,0.0,999.9927636303596
131.825673855641,59.999934183244,0.0,999.9924225946469
134.896288259165,59.9999310814204,0.0,999.9920654867777
138.038426460288,59.9999278334148,0.0,999.9916915493511
141.253754462275,59.999924432338,0.0,999.9912999892433
144.543977074593,59.9999208709763,0.0,999.9908899759761
147.910838816821,59.9999171417759,0.0,999.9904606399183
151.356124843621,59.9999132368271,0.0,999.9900110704623
154.881661891248,59.9999091478475,0.0,999.9895403141019
158.489319246111,59.9999048661643,0.0,999.9890473723847
162.181009735893,59.9999003826962,0.0,999.9885311998304
165.958690743756,59.9998956879337,0.0,999.9879907016681
169.824365246174,59.9998907719193,0.0,999.9874247315511
173.780082874937,59.9998856242262,0.0,999.9868320891109
177.827941003892,59.9998802339364,0.0,999.9862115174275
181.970085860998,59.9998745896172,0.0,999.9855617003363
186.208713666287,59.9998686792973,0.0,999.9848812596671
190.546071796324,59.9998624904413,0.0,999.9841687523152
194.984459975804,59.9998560099229,0.0,999.9834226671524
199.526231496888,59.9998492239974,0.0,999.9826414218636
204.173794466953,59.9998421182725,0.0,999.9818233595868
208.929613085404,59.9998346776775,0.0,999.9809667453685
213.796208950223,59.9998268864318,0.0,999.9800697625332
218.776162394955,59.9998187280109,0.0,999.9791305087771
223.872113856834,59.999810185112,0.0,999.9781469922033
229.086765276777,59.9998012396166,0.0,999.9771171270227
234.422881531992,59.9997918725528,0.0,999.976038729207
239.883291901949,59.9997820640545,0.0,999.9749095118044
245.470891568503,59.9997717933196,0.0,999.973727080119
251.188643150958,59.999761038566,0.0,999.97248892665
257.039578276886,59.999749776985,0.0,999.9711924257329
263.026799189538,59.9997379846934,0.0,999.9698348280216
269.153480392691,59.9997256366824,0.0,999.968413254613
275.422870333816,59.9997127067653,0.0,999.9669246910238
281.838293126445,59.9996991675212,0.0,999.9653659807125
288.40315031266,59.9996849902375,0.0,999.9637338184692
295.120922666638,59.9996701448485,0.0,999.9620247433444
301.995172040201,59.9996545998723,0.0,999.9602351313855
309.029543251358,59.9996383223436,0.0,999.9583611879144
316.227766016837,59.999621277744,0.0,999.9563989395014
323.593656929628,59.9996034299288,0.0,999.9543442255431
331.13112148259,59.9995847410507,0.0,999.9521926894856
338.844156139202,59.999565171479,0.0,999.9499397695316
346.736850452531,59.9995446797164,0.0,999.9475806890623
354.813389233575,59.9995232223104,0.0,999.94511044645
363.078054770101,59.9995007537616,0.0,999.9425238045068
371.535229097172,59.9994772264273,0.0,999.9398152793977
380.18939632056,59.9994525904205,0.0,999.936979129023
389.04514499428,59.9994267935043,0.0,999.9340093408691
398.107170553496,59.9993997809811,0.0,999.9308996192693
407.380277804112,59.999371495577,0.0,999.9276433721037
416.869383470335,59.9993418773203,0.0,999.924233696829
426.579518801592,59.9993108634147,0.0,999.9206633658999
436.515832240165,59.9992783881061,0.0,999.9169248114434
446.683592150962,59.9992443825437,0.0,999.9130101092956
457.088189614874,59.9992087746338,0.0,999.9089109621874
467.735141287197,59.9991714888878,0.0,999.90461868227
478.630092322637,59.9991324462618,0.0,999.9001241726751
489.778819368445,59.9990915639897,0.0,999.8954179083255
501.187233627271,59.9990487554079,0.0,999.8904899157891
512.861383991364,59.9990039297721,0.0,999.8853297522188
524.807460249771,59.998956992065,0.0,999.8799264832509
537.031796370251,59.9989078427957,0.0,999.8742686599561
549.540873857623,59.9988563777889,0.0,999.8683442946085
562.341325190348,59.9988024879646,0.0,999.8621408353785
575.439937337155,59.9987460591079,0.0,999.8556451398836
588.843655355587,59.9986869716269,0.0,999.8488434473747
602.559586074356,59.9986251003004,0.0,999.8417213497542
616.595001861481,59.9985603140127,0.0,999.8342637611211
630.957344480192,59.9984924754773,0.0,999.8264548860313
645.654229034654,59.9984214409459,0.0,999.8182781860901
660.693448007594,59.9983470599054,0.0,999.8097163451594
676.08297539198,59.9982691747599,0.0,999.8007512328511
691.830970918935,59.9981876204976,0.0,999.7913638662927
707.945784384136,59.9981022243427,0.0,999.7815343701749
724.435960074988,59.9980128053907,0.0,999.7712419349045
741.310241300916,59.9979191742266,0.0,999.760464772798
758.577575029182,59.9978211325252,0.0,999.7491800722246
776.24711662869,59.997718472633,0.0,999.7373639496611
794.328234724279,59.9976109771299,0.0,999.724991399424
812.830516164097,59.9974984183715,0.0,999.7120362411897
831.763771102669,59.997380558009,0.0,999.6984710649674
851.138038202374,59.9972571464867,0.0,999.6842671735042
870.963589956078,59.9971279225173,0.0,999.6693945221593
891.250938133743,59.9969926125308,0.0,999.6538216557836
912.010839355907,59.9968509300994,0.0,999.6375156428389
933.254300796988,59.9967025753346,0.0,999.6204420063768
954.992586021433,59.9965472342567,0.0,999.6025646518538
977.237220955808,59.9963845781344,0.0,999.5838457915638
999.999999999997,59.9962142627943,0.0,999.5642458656304
1023.29299228075,59.996035927898,0.0,999.5437234593345
1047.1285480509,59.9958491961855,0.0,999.5222352165988
1071.5193052376,59.9956536726834,0.0,999.4997357494856
1096.47819614318,59.9954489438769,0.0,999.4761775435912
1122.01845430196,59.9952345768424,0.0,999.451510858969
1148.15362149688,59.9950101183412,0.0,999.4256836266517
1174.89755493953,59.9947750938698,0.0,999.3986413402565
1202.26443461741,59.9945290066675,0.0,999.3703269427738
1230.26877081238,59.9942713366772,0.0,999.3406807080547
1258.92541179416,59.9940015394588,0.0,999.309640116961
1288.24955169313,59.9937190450523,0.0,999.2771397278423
1318.2567385564,59.9934232567879,0.0,999.2431110410346
1348.96288259165,59.9931135500426,0.0,999.2074823573506
1380.38426460288,59.9927892709382,0.0,999.1701786299782
1412.53754462275,59.9924497349803,0.0,999.1311213097591
1445.43977074592,59.9920942256347,0.0,999.0902281834462
1479.1083881682,59.9917219928384,0.0,999.04741320464
1513.5612484362,59.9913322514428,0.0,999.0025863171469
1548.81661891248,59.9909241795848,0.0,998.9556532702833
1584.89319246111,59.9904969169851,0.0,998.9065154260647
1621.81009735892,59.9900495631675,0.0,998.8550695576082
1659.58690743755,59.9895811755982,0.0,998.8012076386367
1698.24365246174,59.9890907677396,0.0,998.7448166235093
1737.80082874937,59.9885773070172,0.0,998.6857782176238
