Freq.	mag(V(input)/I(R1))
4.89778819368444e+003	6.87796635065900e+002,0.00000000000000e+000
5.01187233627270e+003	6.82587932777971e+002,0.00000000000000e+000
5.12861383991362e+003	6.77441311482249e+002,0.00000000000000e+000
5.24807460249770e+003	6.72360590209252e+002,0.00000000000000e+000
5.37031796370250e+003	6.67349368686442e+002,0.00000000000000e+000
5.49540873857622e+003	6.62411020425774e+002,0.00000000000000e+000
5.62341325190346e+003	6.57548687205378e+002,0.00000000000000e+000
5.75439937337154e+003	6.52765274929560e+002,0.00000000000000e+000
5.88843655355586e+003	6.48063450839603e+002,0.00000000000000e+000
6.02559586074354e+003	6.43445642037099e+002,0.00000000000000e+000
6.16595001861479e+003	6.38914035271756e+002,0.00000000000000e+000
6.30957344480190e+003	6.34470577937048e+002,0.00000000000000e+000
6.45654229034652e+003	6.30116980209525e+002,0.00000000000000e+000
6.60693448007592e+003	6.25854718261284e+002,0.00000000000000e+000
6.76082975391978e+003	6.21685038469886e+002,0.00000000000000e+000
6.91830970918932e+003	6.17608962545962e+002,0.00000000000000e+000
7.07945784384134e+003	6.13627293495777e+002,0.00000000000000e+000
7.24435960074986e+003	6.09740622334137e+002,0.00000000000000e+000
7.41310241300913e+003	6.05949335462108e+002,0.00000000000000e+000
7.58577575029179e+003	6.02253622624048e+002,0.00000000000000e+000
7.76247116628687e+003	5.98653485359363e+002,0.00000000000000e+000
7.94328234724277e+003	5.95148745866017e+002,0.00000000000000e+000
8.12830516164094e+003	5.91739056195252e+002,0.00000000000000e+000
8.31763771102666e+003	5.88423907699904e+002,0.00000000000000e+000
8.51138038202371e+003	5.85202640662194e+002,0.00000000000000e+000
8.70963589956075e+003	5.82074454030880e+002,0.00000000000000e+000
8.91250938133740e+003	5.79038415201872e+002,0.00000000000000e+000
9.12010839355904e+003	5.76093469781047e+002,0.00000000000000e+000
9.33254300796985e+003	5.73238451272775e+002,0.00000000000000e+000
9.54992586021430e+003	5.70472090642565e+002,0.00000000000000e+000
9.77237220955804e+003	5.67793025707208e+002,0.00000000000000e+000
9.99999999999993e+003	5.65199810310845e+002,0.00000000000000e+000
1.02329299228075e+004	5.62690923250205e+002,0.00000000000000e+000
1.04712854805089e+004	5.60264776917193e+002,0.00000000000000e+000
1.07151930523760e+004	5.57919725631654e+002,0.00000000000000e+000
1.09647819614318e+004	5.55654073641623e+002,0.00000000000000e+000
1.12201845430196e+004	5.53466082772725e+002,0.00000000000000e+000
1.14815362149688e+004	5.51353979712391e+002,0.00000000000000e+000
1.17489755493952e+004	5.49315962918427e+002,0.00000000000000e+000
1.20226443461740e+004	5.47350209144935e+002,0.00000000000000e+000
1.23026877081237e+004	5.45454879581923e+002,0.00000000000000e+000
1.25892541179416e+004	5.43628125607851e+002,0.00000000000000e+000
1.28824955169313e+004	5.41868094157072e+002,0.00000000000000e+000
1.31825673855640e+004	5.40172932706565e+002,0.00000000000000e+000
1.34896288259164e+004	5.38540793888412e+002,0.00000000000000e+000
1.38038426460288e+004	5.36969839736414e+002,0.00000000000000e+000
1.41253754462274e+004	5.35458245576776e+002,0.00000000000000e+000
1.44543977074592e+004	5.34004203574199e+002,0.00000000000000e+000
1.47910838816820e+004	5.32605925945786e+002,0.00000000000000e+000
1.51356124843620e+004	5.31261647856151e+002,0.00000000000000e+000
1.54881661891247e+004	5.29969630007731e+002,0.00000000000000e+000
1.58489319246110e+004	5.28728160940926e+002,0.00000000000000e+000
1.62181009735892e+004	5.27535559058938e+002,0.00000000000000e+000
1.65958690743755e+004	5.26390174392483e+002,0.00000000000000e+000
1.69824365246173e+004	5.25290390119514e+002,0.00000000000000e+000
1.73780082874936e+004	5.24234623855126e+002,0.00000000000000e+000
1.77827941003891e+004	5.23221328726557e+002,0.00000000000000e+000
1.81970085860997e+004	5.22248994248029e+002,0.00000000000000e+000
1.86208713666285e+004	5.21316147009771e+002,0.00000000000000e+000
1.90546071796323e+004	5.20421351195193e+002,0.00000000000000e+000
1.94984459975803e+004	5.19563208939712e+002,0.00000000000000e+000
1.99526231496887e+004	5.18740360544248e+002,0.00000000000000e+000
2.04173794466951e+004	5.17951484555832e+002,0.00000000000000e+000
2.08929613085402e+004	5.17195297727251e+002,0.00000000000000e+000
2.13796208950222e+004	5.16470554867044e+002,0.00000000000000e+000
2.18776162394954e+004	5.15776048590584e+002,0.00000000000000e+000
2.23872113856832e+004	5.15110608982388e+002,0.00000000000000e+000
2.29086765276776e+004	5.14473103179191e+002,0.00000000000000e+000
2.34422881531990e+004	5.13862434882765e+002,0.00000000000000e+000
2.39883291901947e+004	5.13277543810821e+002,0.00000000000000e+000
2.45470891568501e+004	5.12717405093846e+002,0.00000000000000e+000
2.51188643150956e+004	5.12181028625120e+002,0.00000000000000e+000
2.57039578276884e+004	5.11667458370640e+002,0.00000000000000e+000
2.63026799189536e+004	5.11175771645187e+002,0.00000000000000e+000
2.69153480392689e+004	5.10705078360248e+002,0.00000000000000e+000
2.75422870333814e+004	5.10254520249072e+002,0.00000000000000e+000
2.81838293126443e+004	5.09823270073660e+002,0.00000000000000e+000
2.88403150312658e+004	5.09410530818096e+002,0.00000000000000e+000
2.95120922666636e+004	5.09015534872207e+002,0.00000000000000e+000
3.01995172040199e+004	5.08637543209168e+002,0.00000000000000e+000
3.09029543251357e+004	5.08275844560340e+002,0.00000000000000e+000
3.16227766016835e+004	5.07929754590239e+002,0.00000000000000e+000
3.23593656929626e+004	5.07598615074308e+002,0.00000000000000e+000
3.31131121482588e+004	5.07281793081797e+002,0.00000000000000e+000
3.38844156139200e+004	5.06978680165857e+002,0.00000000000000e+000
3.46736850452529e+004	5.06688691562634e+002,0.00000000000000e+000
3.54813389233573e+004	5.06411265401002e+002,0.00000000000000e+000
3.63078054770098e+004	5.06145861924304e+002,0.00000000000000e+000
3.71535229097169e+004	5.05891962725286e+002,0.00000000000000e+000
3.80189396320558e+004	5.05649069995263e+002,0.00000000000000e+000
3.89045144994277e+004	5.05416705788340e+002,0.00000000000000e+000
3.98107170553494e+004	5.05194411301423e+002,0.00000000000000e+000
4.07380277804109e+004	5.04981746170572e+002,0.00000000000000e+000
4.16869383470332e+004	5.04778287784143e+002,0.00000000000000e+000
4.26579518801589e+004	5.04583630613054e+002,0.00000000000000e+000
4.36515832240162e+004	5.04397385558424e+002,0.00000000000000e+000
4.46683592150959e+004	5.04219179316710e+002,0.00000000000000e+000
4.57088189614871e+004	5.04048653762418e+002,0.00000000000000e+000
4.67735141287194e+004	5.03885465348371e+002,0.00000000000000e+000
4.78630092322634e+004	5.03729284523476e+002,0.00000000000000e+000
4.89778819368442e+004	5.03579795167830e+002,0.00000000000000e+000
5.01187233627268e+004	5.03436694045023e+002,0.00000000000000e+000
5.12861383991360e+004	5.03299690271371e+002,0.00000000000000e+000
5.24807460249768e+004	5.03168504801849e+002,0.00000000000000e+000
5.37031796370248e+004	5.03042869932406e+002,0.00000000000000e+000
5.49540873857620e+004	5.02922528818333e+002,0.00000000000000e+000
5.62341325190344e+004	5.02807235008347e+002,0.00000000000000e+000
5.75439937337152e+004	5.02696751994007e+002,0.00000000000000e+000
5.88843655355584e+004	5.02590852774069e+002,0.00000000000000e+000
6.02559586074352e+004	5.02489319433376e+002,0.00000000000000e+000
6.16595001861477e+004	5.02391942735878e+002,0.00000000000000e+000
6.30957344480187e+004	5.02298521731333e+002,0.00000000000000e+000
6.45654229034650e+004	5.02208863375279e+002,0.00000000000000e+000
6.60693448007590e+004	5.02122782161821e+002,0.00000000000000e+000
6.76082975391975e+004	5.02040099768804e+002,0.00000000000000e+000
6.91830970918930e+004	5.01960644714912e+002,0.00000000000000e+000
7.07945784384131e+004	5.01884252028282e+002,0.00000000000000e+000
7.24435960074983e+004	5.01810762926142e+002,0.00000000000000e+000
7.41310241300911e+004	5.01740024505085e+002,0.00000000000000e+000
7.58577575029177e+004	5.01671889441498e+002,0.00000000000000e+000
7.76247116628685e+004	5.01606215701732e+002,0.00000000000000e+000
7.94328234724274e+004	5.01542866261590e+002,0.00000000000000e+000
8.12830516164092e+004	5.01481708834675e+002,0.00000000000000e+000
8.31763771102663e+004	5.01422615609219e+002,0.00000000000000e+000
8.51138038202369e+004	5.01365462992941e+002,0.00000000000000e+000
8.70963589956073e+004	5.01310131365545e+002,0.00000000000000e+000
8.91250938133737e+004	5.01256504838442e+002,0.00000000000000e+000
9.12010839355901e+004	5.01204471021309e+002,0.00000000000000e+000
9.33254300796982e+004	5.01153920795077e+002,0.00000000000000e+000
9.54992586021427e+004	5.01104748090966e+002,0.00000000000000e+000
9.77237220955802e+004	5.01056849675195e+002,0.00000000000000e+000
9.99999999999991e+004	5.01010124938973e+002,0.00000000000000e+000
1.02329299228074e+005	5.00964475693412e+002,0.00000000000000e+000
1.04712854805089e+005	5.00919805968994e+002,0.00000000000000e+000
1.07151930523760e+005	5.00876021819222e+002,0.00000000000000e+000
1.09647819614317e+005	5.00833031128117e+002,0.00000000000000e+000
1.12201845430195e+005	5.00790743421190e+002,0.00000000000000e+000
1.14815362149687e+005	5.00749069679548e+002,0.00000000000000e+000
1.17489755493952e+005	5.00707922156793e+002,0.00000000000000e+000
1.20226443461740e+005	5.00667214198374e+002,0.00000000000000e+000
1.23026877081237e+005	5.00626860063044e+002,0.00000000000000e+000
1.25892541179416e+005	5.00586774746103e+002,0.00000000000000e+000
1.28824955169312e+005	5.00546873804076e+002,0.00000000000000e+000
1.31825673855639e+005	5.00507073180519e+002,0.00000000000000e+000
1.34896288259164e+005	5.00467289032603e+002,0.00000000000000e+000
1.38038426460287e+005	5.00427437558157e+002,0.00000000000000e+000
1.41253754462274e+005	5.00387434822852e+002,0.00000000000000e+000
1.44543977074591e+005	5.00347196587188e+002,0.00000000000000e+000
1.47910838816819e+005	5.00306638132965e+002,0.00000000000000e+000
1.51356124843619e+005	5.00265674088916e+002,0.00000000000000e+000
1.54881661891247e+005	5.00224218255172e+002,0.00000000000000e+000
1.58489319246110e+005	5.00182183426228e+002,0.00000000000000e+000
1.62181009735891e+005	5.00139481212098e+002,0.00000000000000e+000
1.65958690743754e+005	5.00096021857322e+002,0.00000000000000e+000
1.69824365246173e+005	5.00051714057477e+002,0.00000000000000e+000
1.73780082874936e+005	5.00006464772908e+002,0.00000000000000e+000
1.77827941003890e+005	4.99960179039289e+002,0.00000000000000e+000
1.81970085860996e+005	4.99912759774716e+002,0.00000000000000e+000
1.86208713666285e+005	4.99864107582975e+002,0.00000000000000e+000
1.90546071796323e+005	4.99814120552663e+002,0.00000000000000e+000
1.94984459975802e+005	4.99762694051786e+002,0.00000000000000e+000
1.99526231496886e+005	4.99709720517517e+002,0.00000000000000e+000
2.04173794466951e+005	4.99655089240755e+002,0.00000000000000e+000
2.08929613085402e+005	4.99598686145124e+002,0.00000000000000e+000
2.13796208950221e+005	4.99540393560064e+002,0.00000000000000e+000
2.18776162394953e+005	4.99480089987661e+002,0.00000000000000e+000
2.23872113856832e+005	4.99417649862832e+002,0.00000000000000e+000
2.29086765276775e+005	4.99352943306552e+002,0.00000000000000e+000
2.34422881531990e+005	4.99285835871685e+002,0.00000000000000e+000
2.39883291901946e+005	4.99216188281126e+002,0.00000000000000e+000
2.45470891568500e+005	4.99143856157843e+002,0.00000000000000e+000
2.51188643150955e+005	4.99068689746454e+002,0.00000000000000e+000
2.57039578276884e+005	4.98990533626011e+002,0.00000000000000e+000
2.63026799189535e+005	4.98909226413562e+002,0.00000000000000e+000
2.69153480392689e+005	4.98824600458189e+002,0.00000000000000e+000
2.75422870333814e+005	4.98736481525130e+002,0.00000000000000e+000
2.81838293126442e+005	4.98644688469650e+002,0.00000000000000e+000
2.88403150312657e+005	4.98549032900276e+002,0.00000000000000e+000
2.95120922666635e+005	4.98449318831125e+002,0.00000000000000e+000
3.01995172040198e+005	4.98345342322925e+002,0.00000000000000e+000
3.09029543251356e+005	4.98236891112462e+002,0.00000000000000e+000
3.16227766016834e+005	4.98123744230134e+002,0.00000000000000e+000
3.23593656929625e+005	4.98005671605332e+002,0.00000000000000e+000
3.31131121482587e+005	4.97882433659380e+002,0.00000000000000e+000
3.38844156139199e+005	4.97753780885816e+002,0.00000000000000e+000
3.46736850452528e+005	4.97619453417779e+002,0.00000000000000e+000
3.54813389233571e+005	4.97479180582344e+002,0.00000000000000e+000
3.63078054770097e+005	4.97332680441660e+002,0.00000000000000e+000
3.71535229097168e+005	4.97179659320776e+002,0.00000000000000e+000
3.80189396320557e+005	4.97019811322138e+002,0.00000000000000e+000
3.89045144994276e+005	4.96852817826706e+002,0.00000000000000e+000
3.98107170553493e+005	4.96678346981813e+002,0.00000000000000e+000
4.07380277804108e+005	4.96496053175823e+002,0.00000000000000e+000
4.16869383470331e+005	4.96305576499854e+002,0.00000000000000e+000
4.26579518801588e+005	4.96106542196792e+002,0.00000000000000e+000
4.36515832240161e+005	4.95898560098004e+002,0.00000000000000e+000
4.46683592150958e+005	4.95681224048187e+002,0.00000000000000e+000
4.57088189614870e+005	4.95454111318983e+002,0.00000000000000e+000
4.67735141287193e+005	4.95216782011994e+002,0.00000000000000e+000
4.78630092322633e+005	4.94968778452103e+002,0.00000000000000e+000
4.89778819368440e+005	4.94709624572013e+002,0.00000000000000e+000
5.01187233627266e+005	4.94438825289174e+002,0.00000000000000e+000
5.12861383991359e+005	4.94155865876430e+002,0.00000000000000e+000
5.24807460249766e+005	4.93860211327785e+002,0.00000000000000e+000
5.37031796370246e+005	4.93551305721098e+002,0.00000000000000e+000
5.49540873857618e+005	4.93228571579520e+002,0.00000000000000e+000
5.62341325190342e+005	4.92891409233871e+002,0.00000000000000e+000
5.75439937337150e+005	4.92539196188318e+002,0.00000000000000e+000
5.88843655355582e+005	4.92171286492060e+002,0.00000000000000e+000
6.02559586074350e+005	4.91787010119871e+002,0.00000000000000e+000
6.16595001861474e+005	4.91385672364872e+002,0.00000000000000e+000
6.30957344480185e+005	4.90966553247053e+002,0.00000000000000e+000
6.45654229034647e+005	4.90528906941388e+002,0.00000000000000e+000
6.60693448007588e+005	4.90071961229997e+002,0.00000000000000e+000
6.76082975391973e+005	4.89594916982809e+002,0.00000000000000e+000
6.91830970918928e+005	4.89096947671955e+002,0.00000000000000e+000
7.07945784384129e+005	4.88577198925201e+002,0.00000000000000e+000
7.24435960074981e+005	4.88034788124476e+002,0.00000000000000e+000
7.41310241300908e+005	4.87468804055687e+002,0.00000000000000e+000
7.58577575029174e+005	4.86878306616676e+002,0.00000000000000e+000
7.76247116628682e+005	4.86262326590582e+002,0.00000000000000e+000
7.94328234724271e+005	4.85619865492250e+002,0.00000000000000e+000
8.12830516164089e+005	4.84949895496001e+002,0.00000000000000e+000
8.31763771102660e+005	4.84251359453221e+002,0.00000000000000e+000
8.51138038202365e+005	4.83523171009078e+002,0.00000000000000e+000
8.70963589956069e+005	4.82764214827702e+002,0.00000000000000e+000
8.91250938133734e+005	4.81973346936031e+002,0.00000000000000e+000
9.12010839355898e+005	4.81149395196419e+002,0.00000000000000e+000
9.33254300796979e+005	4.80291159918956e+002,0.00000000000000e+000
9.54992586021423e+005	4.79397414624275e+002,0.00000000000000e+000
9.77237220955797e+005	4.78466906968469e+002,0.00000000000000e+000
9.99999999999987e+005	4.77498359841091e+002,0.00000000000000e+000
1.02329299228074e+006	4.76490472648251e+002,0.00000000000000e+000
1.04712854805089e+006	4.75441922792064e+002,0.00000000000000e+000
1.07151930523759e+006	4.74351367358008e+002,0.00000000000000e+000
1.09647819614317e+006	4.73217445021525e+002,0.00000000000000e+000
1.12201845430195e+006	4.72038778184562e+002,0.00000000000000e+000
1.14815362149687e+006	4.70813975352522e+002,0.00000000000000e+000
1.17489755493951e+006	4.69541633761440e+002,0.00000000000000e+000
1.20226443461740e+006	4.68220342263946e+002,0.00000000000000e+000
1.23026877081236e+006	4.66848684482023e+002,0.00000000000000e+000
1.25892541179415e+006	4.65425242233108e+002,0.00000000000000e+000
1.28824955169312e+006	4.63948599234352e+002,0.00000000000000e+000
1.31825673855639e+006	4.62417345088543e+002,0.00000000000000e+000
1.34896288259163e+006	4.60830079553127e+002,0.00000000000000e+000
1.38038426460287e+006	4.59185417091305e+002,0.00000000000000e+000
1.41253754462273e+006	4.57481991701962e+002,0.00000000000000e+000
1.44543977074591e+006	4.55718462022701e+002,0.00000000000000e+000
1.47910838816819e+006	4.53893516696676e+002,0.00000000000000e+000
1.51356124843619e+006	4.52005879991531e+002,0.00000000000000e+000
1.54881661891246e+006	4.50054317654896e+002,0.00000000000000e+000
1.58489319246109e+006	4.48037642987366e+002,0.00000000000000e+000
