1.00000000000000e+002	9.99995639637295e+002
1.02329299228075e+002	9.99995434141139e+002
1.04712854805090e+002	9.99995218960383e+002
1.07151930523761e+002	9.99994993638621e+002
1.09647819614318e+002	9.99994757697933e+002
1.12201845430196e+002	9.99994510637882e+002
1.14815362149688e+002	9.99994251934447e+002
1.17489755493953e+002	9.99993981038909e+002
1.20226443461741e+002	9.99993697376693e+002
1.23026877081238e+002	9.99993400346148e+002
1.25892541179417e+002	9.99993089317269e+002
1.28824955169313e+002	9.99992763630361e+002
1.31825673855641e+002	9.99992422594643e+002
1.34896288259165e+002	9.99992065486781e+002
1.38038426460288e+002	9.99991691549353e+002
1.41253754462275e+002	9.99991299989248e+002
1.44543977074593e+002	9.99990889975976e+002
1.47910838816821e+002	9.99990460639915e+002
1.51356124843621e+002	9.99990011070461e+002
1.54881661891248e+002	9.99989540314101e+002
1.58489319246111e+002	9.99989047372390e+002
1.62181009735893e+002	9.99988531199833e+002
1.65958690743756e+002	9.99987990701670e+002
1.69824365246174e+002	9.99987424731553e+002
1.73780082874937e+002	9.99986832089115e+002
1.77827941003892e+002	9.99986211517430e+002
1.81970085860998e+002	9.99985561700340e+002
1.86208713666287e+002	9.99984881259672e+002
1.90546071796324e+002	9.99984168752313e+002
1.94984459975804e+002	9.99983422667148e+002
1.99526231496888e+002	9.99982641421862e+002
2.04173794466953e+002	9.99981823359583e+002
2.08929613085404e+002	9.99980966745368e+002
2.13796208950223e+002	9.99980069762530e+002
2.18776162394955e+002	9.99979130508779e+002
2.23872113856834e+002	9.99978146992199e+002
2.29086765276777e+002	9.99977117127021e+002
2.34422881531992e+002	9.99976038729203e+002
2.39883291901949e+002	9.99974909511801e+002
2.45470891568503e+002	9.99973727080123e+002
2.51188643150958e+002	9.99972488926652e+002
2.57039578276886e+002	9.99971192425735e+002
2.63026799189538e+002	9.99969834828018e+002
2.69153480392691e+002	9.99968413254617e+002
2.75422870333816e+002	9.99966924691025e+002
2.81838293126445e+002	9.99965365980716e+002
2.88403150312660e+002	9.99963733818466e+002
2.95120922666638e+002	9.99962024743345e+002
3.01995172040201e+002	9.99960235131388e+002
3.09029543251358e+002	9.99958361187915e+002
3.16227766016837e+002	9.99956398939500e+002
3.23593656929628e+002	9.99954344225548e+002
3.31131121482590e+002	9.99952192689485e+002
3.38844156139202e+002	9.99949939769536e+002
3.46736850452531e+002	9.99947580689063e+002
3.54813389233575e+002	9.99945110446448e+002
3.63078054770101e+002	9.99942523804506e+002
3.71535229097172e+002	9.99939815279400e+002
3.80189396320560e+002	9.99936979129028e+002
3.89045144994280e+002	9.99934009340872e+002
3.98107170553496e+002	9.99930899619274e+002
4.07380277804112e+002	9.99927643372107e+002
4.16869383470335e+002	9.99924233696835e+002
4.26579518801592e+002	9.99920663365902e+002
4.36515832240165e+002	9.99916924811447e+002
4.46683592150962e+002	9.99913010109292e+002
4.57088189614874e+002	9.99908910962189e+002
4.67735141287197e+002	9.99904618682268e+002
4.78630092322637e+002	9.99900124172670e+002
4.89778819368445e+002	9.99895417908320e+002
5.01187233627271e+002	9.99890489915789e+002
5.12861383991364e+002	9.99885329752218e+002
5.24807460249771e+002	9.99879926483257e+002
5.37031796370251e+002	9.99874268659959e+002
5.49540873857623e+002	9.99868344294605e+002
5.62341325190348e+002	9.99862140835380e+002
5.75439937337155e+002	9.99855645139882e+002
5.88843655355587e+002	9.99848843447374e+002
6.02559586074356e+002	9.99841721349750e+002
6.16595001861481e+002	9.99834263761125e+002
6.30957344480192e+002	9.99826454886031e+002
6.45654229034654e+002	9.99818278186091e+002
6.60693448007594e+002	9.99809716345166e+002
6.76082975391980e+002	9.99800751232854e+002
6.91830970918935e+002	9.99791363866293e+002
7.07945784384136e+002	9.99781534370178e+002
7.24435960074988e+002	9.99771241934910e+002
7.41310241300916e+002	9.99760464772802e+002
7.58577575029182e+002	9.99749180072229e+002
7.76247116628690e+002	9.99737363949657e+002
7.94328234724279e+002	9.99724991399424e+002
8.12830516164097e+002	9.99712036241193e+002
8.31763771102669e+002	9.99698471064962e+002
8.51138038202374e+002	9.99684267173505e+002
8.70963589956078e+002	9.99669394522155e+002
8.91250938133743e+002	9.99653821655778e+002
9.12010839355907e+002	9.99637515642836e+002
9.33254300796988e+002	9.99620442006378e+002
9.54992586021433e+002	9.99602564651851e+002
9.77237220955808e+002	9.99583845791560e+002
9.99999999999997e+002	9.99564245865632e+002
1.02329299228075e+003	9.99543723459340e+002
1.04712854805090e+003	9.99522235216600e+002
1.07151930523760e+003	9.99499735749490e+002
1.09647819614318e+003	9.99476177543589e+002
1.12201845430196e+003	9.99451510858972e+002
1.14815362149688e+003	9.99425683626650e+002
1.17489755493953e+003	9.99398641340257e+002
1.20226443461741e+003	9.99370326942772e+002
1.23026877081238e+003	9.99340680708054e+002
1.25892541179416e+003	9.99309640116965e+002
1.28824955169313e+003	9.99277139727839e+002
1.31825673855640e+003	9.99243111041037e+002
1.34896288259165e+003	9.99207482357352e+002
1.38038426460288e+003	9.99170178629977e+002
1.41253754462275e+003	9.99131121309757e+002
1.44543977074592e+003	9.99090228183446e+002
1.47910838816820e+003	9.99047413204645e+002
1.51356124843620e+003	9.99002586317142e+002
1.54881661891248e+003	9.98955653270280e+002
1.58489319246111e+003	9.98906515426062e+002
1.62181009735892e+003	9.98855069557610e+002
1.65958690743755e+003	9.98801207638632e+002
1.69824365246174e+003	9.98744816623510e+002
1.73780082874937e+003	9.98685778217626e+002
1.77827941003892e+003	9.98623968637519e+002
1.81970085860998e+003	9.98559258360459e+002
