1.00000000000000e+002	1.11948089022800e+003
1.02329299228075e+002	1.11945645108146e+003
1.04712854805090e+002	1.11943086263422e+003
1.07151930523761e+002	1.11940407096032e+003
1.09647819614318e+002	1.11937601961532e+003
1.12201845430196e+002	1.11934664951987e+003
1.14815362149688e+002	1.11931589883787e+003
1.17489755493953e+002	1.11928370284928e+003
1.20226443461741e+002	1.11924999381704e+003
1.23026877081238e+002	1.11921470084812e+003
1.25892541179417e+002	1.11917774974824e+003
1.28824955169313e+002	1.11913906287012e+003
1.31825673855641e+002	1.11909855895495e+003
1.34896288259165e+002	1.11905615296676e+003
1.38038426460288e+002	1.11901175591940e+003
1.41253754462275e+002	1.11896527469596e+003
1.44543977074593e+002	1.11891661186006e+003
1.47910838816821e+002	1.11886566545892e+003
1.51356124843621e+002	1.11881232881774e+003
1.54881661891248e+002	1.11875649032510e+003
1.58489319246111e+002	1.11869803320898e+003
1.62181009735893e+002	1.11863683530307e+003
1.65958690743756e+002	1.11857276880295e+003
1.69824365246174e+002	1.11850570001181e+003
1.73780082874937e+002	1.11843548907523e+003
1.77827941003892e+002	1.11836198970466e+003
1.81970085860998e+002	1.11828504888917e+003
1.86208713666287e+002	1.11820450659504e+003
1.90546071796324e+002	1.11812019545277e+003
1.94984459975804e+002	1.11803194043095e+003
1.99526231496888e+002	1.11793955849672e+003
2.04173794466953e+002	1.11784285826224e+003
2.08929613085404e+002	1.11774163961664e+003
2.13796208950223e+002	1.11763569334320e+003
2.18776162394955e+002	1.11752480072099e+003
2.23872113856834e+002	1.11740873311077e+003
2.29086765276777e+002	1.11728725152446e+003
2.34422881531992e+002	1.11716010617783e+003
2.39883291901949e+002	1.11702703602589e+003
2.45470891568503e+002	1.11688776828050e+003
2.51188643150958e+002	1.11674201790981e+003
2.57039578276886e+002	1.11658948711899e+003
2.63026799189538e+002	1.11642986481192e+003
2.69153480392691e+002	1.11626282603335e+003
2.75422870333816e+002	1.11608803139121e+003
2.81838293126445e+002	1.11590512645866e+003
2.88403150312660e+002	1.11571374115565e+003
2.95120922666638e+002	1.11551348910958e+003
3.01995172040201e+002	1.11530396699496e+003
3.09029543251358e+002	1.11508475385179e+003
3.16227766016837e+002	1.11485541038260e+003
3.23593656929628e+002	1.11461547822809e+003
3.31131121482590e+002	1.11436447922140e+003
3.38844156139202e+002	1.11410191462113e+003
3.46736850452531e+002	1.11382726432332e+003
3.54813389233575e+002	1.11353998605274e+003
3.63078054770101e+002	1.11323951453393e+003
3.71535229097172e+002	1.11292526064264e+003
3.80189396320560e+002	1.11259661053829e+003
3.89045144994280e+002	1.11225292477856e+003
3.98107170553496e+002	1.11189353741698e+003
4.07380277804112e+002	1.11151775508507e+003
4.16869383470335e+002	1.11112485606037e+003
4.26579518801592e+002	1.11071408932226e+003
4.36515832240165e+002	1.11028467359751e+003
4.46683592150962e+002	1.10983579639799e+003
4.57088189614874e+002	1.10936661305318e+003
4.67735141287197e+002	1.10887624574034e+003
4.78630092322637e+002	1.10836378251594e+003
4.89778819368445e+002	1.10782827635181e+003
5.01187233627271e+002	1.10726874418050e+003
5.12861383991364e+002	1.10668416595418e+003
5.24807460249771e+002	1.10607348372251e+003
5.37031796370251e+002	1.10543560073484e+003
5.49540873857623e+002	1.10476938057316e+003
5.62341325190348e+002	1.10407364632243e+003
5.75439937337155e+002	1.10334717978581e+003
5.88843655355587e+002	1.10258872075269e+003
6.02559586074356e+002	1.10179696632839e+003
6.16595001861481e+002	1.10097057033485e+003
6.30957344480192e+002	1.10010814279254e+003
6.45654229034654e+002	1.09920824949445e+003
6.60693448007594e+002	1.09826941168400e+003
6.76082975391980e+002	1.09729010584912e+003
6.91830970918935e+002	1.09626876364607e+003
7.07945784384136e+002	1.09520377196694e+003
7.24435960074988e+002	1.09409347316581e+003
7.41310241300916e+002	1.09293616545926e+003
7.58577575029182e+002	1.09173010351778e+003
7.76247116628690e+002	1.09047349926514e+003
7.94328234724279e+002	1.08916452290389e+003
8.12830516164097e+002	1.08780130418525e+003
8.31763771102669e+002	1.08638193394272e+003
8.51138038202374e+002	1.08490446590884e+003
8.70963589956078e+002	1.08336691883496e+003
8.91250938133743e+002	1.08176727893423e+003
9.12010839355907e+002	1.08010350266786e+003
9.33254300796988e+002	1.07837351989461e+003
9.54992586021433e+002	1.07657523740329e+003
9.77237220955808e+002	1.07470654284719e+003
9.99999999999997e+002	1.07276530909863e+003
1.02329299228075e+003	1.07074939904088e+003
1.04712854805090e+003	1.06865667081276e+003
1.07151930523760e+003	1.06648498351996e+003
1.09647819614318e+003	1.06423220342446e+003
1.12201845430196e+003	1.06189621062129e+003
1.14815362149688e+003	1.05947490620841e+003
1.17489755493953e+003	1.05696621995244e+003
1.20226443461741e+003	1.05436811844891e+003
1.23026877081238e+003	1.05167861377128e+003
1.25892541179416e+003	1.04889577259837e+003
1.28824955169313e+003	1.04601772580444e+003
1.31825673855640e+003	1.04304267849047e+003
1.34896288259165e+003	1.03996892042916e+003
1.38038426460288e+003	1.03679483688962e+003
1.41253754462275e+003	1.03351891980096e+003
1.44543977074592e+003	1.03013977920685e+003
1.47910838816820e+003	1.02665615495597e+003
1.51356124843620e+003	1.02306692856576e+003
1.54881661891248e+003	1.01937113518956e+003
1.58489319246111e+003	1.01556797561011e+003
1.62181009735892e+003	1.01165682817502e+003
1.65958690743755e+003	1.00763726058345e+003
1.69824365246174e+003	1.00350904142705e+003
1.73780082874937e+003	9.99272151382485e+002
1.77827941003892e+003	9.94926793948577e+002
1.81970085860998e+003	9.90473405617034e+002
